,concelho,CCA_2
0,Évora,0705
1,Alandroal,0701
2,Arraiolos,0702
3,Borba,0703
4,Estremoz,0704
5,Montemor-o-novo,0706
6,Mora,0707
7,Mourão,0708
8,Portel,0709
9,Redondo,0710
10,Reguengos de monsaraz,0711
11,Vendas novas,0712
12,Viana do alentejo,0713
13,Vila viçosa,0714
14,Águeda,0101
15,Ílhavo,0110
16,Albergaria-a-velha,0102
17,Anadia,0103
18,Arouca,0104
19,Aveiro,0105
20,Castelo de paiva,0106
21,Espinho,0107
22,Estarreja,0108
23,Mealhada,0111
24,Murtosa,0112
25,Oliveira de azeméis,0113
26,Oliveira do bairro,0114
27,Ovar,0115
28,São joão da madeira,0116
29,Santa maria da feira,0109
30,Sever do vouga,0117
31,Vagos,0118
32,Vale de cambra,0119
52,Aljustrel,0201
53,Almodôvar,0202
54,Alvito,0203
55,Barrancos,0204
56,Beja,0205
57,Castro verde,0206
58,Cuba,0207
59,Ferreira do alentejo,0208
60,Mértola,0209
61,Moura,0210
62,Odemira,0211
63,Ourique,0212
64,Serpa,0213
65,Vidigueira,0214
66,Amares,0301
67,Barcelos,0302
68,Braga,0303
69,Braga,0308
70,Cabeceiras de basto,0304
71,Celorico de basto,0305
72,Esposende,0306
73,Fafe,0307
74,Póvoa de lanhoso,0309
75,Terras de bouro,0310
76,Vieira do minho,0311
77,Vila nova de famalicão,0312
78,Vila verde,0313
79,Vizela,0314
80,Alfândega da fé,0401
81,Bragança,0402
82,Carrazeda de ansiães,0403
83,Freixo de espada à cinta,0404
84,Macedo de cavaleiros,0405
85,Miranda do douro,0406
86,Mirandela,0407
87,Mogadouro,0408
88,Torre de moncorvo,0409
89,Vila flor,0410
90,Vimioso,0411
91,Vinhais,0412
92,Belmonte,0501
93,Castelo branco,0502
94,Covilhã,0503
95,Fundão,0504
96,Idanha-a-nova,0505
97,Oleiros,0506
98,Penamacor,0507
99,Proença-a-nova,0508
100,Sertã,0509
101,Vila de rei,0510
102,Vila velha de ródão,0511
103,Arganil,0601
104,Cantanhede,0602
105,Coimbra,0603
